job_ad_id,job_city,job_industry,job_type,job_fed_contractor,job_equal_opp_employer,job_ownership,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school,received_callback,firstname,race,gender,years_college,college_degree,honors,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_holes,has_email_address,resume_quality
1,Boston,manufacturing,manager,0,Yes,private,Yes,No,Yes,3,No,No,Some_college,0,Brett,white,Male,4,No,No,No,18,Yes,No,Yes,No,No,No,high
1,Boston,manufacturing,manager,0,Yes,private,Yes,No,Yes,3,No,No,Some_college,0,Lakisha,black,Female,4,No,No,No,26,No,No,No,No,No,No,low
1,Boston,manufacturing,manager,0,Yes,private,Yes,No,Yes,3,No,No,Some_college,0,Matthew,white,Male,4,No,No,No,8,Yes,No,No,No,No,No,low
1,Boston,manufacturing,manager,0,Yes,private,Yes,No,Yes,3,No,No,Some_college,0,Tanisha,black,Female,4,No,No,Yes,14,Yes,Yes,Yes,No,No,No,high
2,Boston,transportation_communication,sales_rep,1,Yes,public,Yes,No,No,1,No,No,none_listed,0,Ebony,black,Female,4,No,Yes,Yes,8,Yes,No,No,No,No,No,low
2,Boston,transportation_communication,sales_rep,1,Yes,public,Yes,No,No,1,No,No,none_listed,0,Neil,white,Male,4,No,Yes,Yes,8,No,No,No,No,No,No,low
2,Boston,transportation_communication,sales_rep,1,Yes,public,Yes,No,No,1,No,No,none_listed,0,Sarah,white,Female,4,No,Yes,No,8,No,No,Yes,No,No,Yes,high
2,Boston,transportation_communication,sales_rep,1,Yes,public,Yes,No,No,1,No,No,none_listed,0,Tremayne,black,Male,4,No,Yes,No,10,Yes,No,Yes,No,No,Yes,high
3,Boston,wholesale_and_retail_trade,sales_rep,0,Yes,private,Yes,No,No,Some,No,No,none_listed,0,Aisha,black,Female,4,No,No,No,7,No,No,No,No,No,No,low
3,Boston,wholesale_and_retail_trade,sales_rep,0,Yes,private,Yes,No,No,Some,No,No,none_listed,0,Carrie,white,Female,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
3,Boston,wholesale_and_retail_trade,sales_rep,0,Yes,private,Yes,No,No,Some,No,No,none_listed,0,Geoffrey,white,Male,4,No,No,Yes,6,Yes,No,No,No,No,No,low
3,Boston,wholesale_and_retail_trade,sales_rep,0,Yes,private,Yes,No,No,Some,No,No,none_listed,0,Kareem,black,Male,4,No,No,Yes,2,Yes,No,Yes,Yes,No,Yes,high
4,Boston,wholesale_and_retail_trade,manager,0,No,private,Yes,No,No,Some,No,No,none_listed,0,Carrie,white,Female,4,No,No,No,26,No,No,No,No,No,No,low
4,Boston,wholesale_and_retail_trade,manager,0,No,private,Yes,No,No,Some,No,No,none_listed,0,Latoya,black,Female,4,No,No,Yes,14,Yes,Yes,Yes,No,No,No,high
4,Boston,wholesale_and_retail_trade,manager,0,No,private,Yes,No,No,Some,No,No,none_listed,0,Laurie,white,Female,4,No,No,No,18,Yes,No,Yes,No,No,No,high
4,Boston,wholesale_and_retail_trade,manager,0,No,private,Yes,No,No,Some,No,No,none_listed,0,Tyrone,black,Male,4,No,No,No,8,Yes,No,No,No,No,No,low
5,Boston,other_service,retail_sales,NA,No,unknown,Yes,No,No,Some,No,No,none_listed,1,Leroy,black,Male,4,No,No,Yes,6,Yes,No,No,No,No,No,low
5,Boston,other_service,retail_sales,NA,No,unknown,Yes,No,No,Some,No,No,none_listed,0,Rasheed,black,Male,4,No,No,Yes,2,Yes,No,Yes,Yes,No,Yes,high
5,Boston,other_service,retail_sales,NA,No,unknown,Yes,No,No,Some,No,No,none_listed,0,Sarah,white,Female,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
5,Boston,other_service,retail_sales,NA,No,unknown,Yes,No,No,Some,No,No,none_listed,0,Todd,white,Male,4,No,No,No,7,No,No,No,No,No,No,low
6,Boston,business_and_personal_service,retail_sales,0,Yes,private,Yes,No,No,1,No,No,none_listed,0,Brendan,white,Male,4,No,Yes,Yes,8,No,No,No,No,No,No,low
6,Boston,business_and_personal_service,retail_sales,0,Yes,private,Yes,No,No,1,No,No,none_listed,0,Jill,white,Female,4,No,Yes,No,8,No,No,Yes,No,No,Yes,high
6,Boston,business_and_personal_service,retail_sales,0,Yes,private,Yes,No,No,1,No,No,none_listed,0,Latoya,black,Female,4,No,Yes,Yes,8,Yes,No,No,No,No,No,low
6,Boston,business_and_personal_service,retail_sales,0,Yes,private,Yes,No,No,1,No,No,none_listed,0,Tanisha,black,Female,4,No,Yes,No,10,Yes,No,Yes,No,No,Yes,high
7,Boston,manufacturing,manager,0,Yes,private,No,No,No,None,No,No,none_listed,0,Allison,white,Female,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
7,Boston,manufacturing,manager,0,Yes,private,No,No,No,None,No,No,none_listed,0,Darnell,black,Male,4,No,No,Yes,6,Yes,No,No,No,No,No,low
7,Boston,manufacturing,manager,0,Yes,private,No,No,No,None,No,No,none_listed,0,Kareem,black,Male,4,No,No,Yes,2,Yes,No,Yes,Yes,No,Yes,high
7,Boston,manufacturing,manager,0,Yes,private,No,No,No,None,No,No,none_listed,0,Neil,white,Male,4,No,No,No,7,No,No,No,No,No,No,low
8,Boston,wholesale_and_retail_trade,retail_sales,0,No,private,Yes,No,No,10,No,No,none_listed,0,Greg,white,Male,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
8,Boston,wholesale_and_retail_trade,retail_sales,0,No,private,Yes,No,No,10,No,No,none_listed,0,Keisha,black,Female,4,No,No,Yes,2,Yes,No,Yes,Yes,No,Yes,high
8,Boston,wholesale_and_retail_trade,retail_sales,0,No,private,Yes,No,No,10,No,No,none_listed,0,Tanisha,black,Female,4,No,No,No,7,No,No,No,No,No,No,low
8,Boston,wholesale_and_retail_trade,retail_sales,0,No,private,Yes,No,No,10,No,No,none_listed,0,Todd,white,Male,4,No,No,Yes,6,Yes,No,No,No,No,No,low
9,Boston,business_and_personal_service,retail_sales,NA,No,unknown,No,No,No,None,No,No,none_listed,0,Kareem,black,Male,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
9,Boston,business_and_personal_service,retail_sales,NA,No,unknown,No,No,No,None,No,No,none_listed,0,Neil,white,Male,4,No,No,Yes,2,Yes,No,Yes,Yes,No,Yes,high
9,Boston,business_and_personal_service,retail_sales,NA,No,unknown,No,No,No,None,No,No,none_listed,0,Tamika,black,Female,4,No,No,Yes,6,Yes,No,No,No,No,No,low
9,Boston,business_and_personal_service,retail_sales,NA,No,unknown,No,No,No,None,No,No,none_listed,0,Todd,white,Male,4,No,No,No,7,No,No,No,No,No,No,low
10,Boston,wholesale_and_retail_trade,retail_sales,NA,Yes,unknown,No,No,No,None,No,No,none_listed,0,Latonya,black,Female,4,No,No,No,7,No,No,No,No,No,No,low
10,Boston,wholesale_and_retail_trade,retail_sales,NA,Yes,unknown,No,No,No,None,No,No,none_listed,0,Rasheed,black,Male,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
10,Boston,wholesale_and_retail_trade,retail_sales,NA,Yes,unknown,No,No,No,None,No,No,none_listed,0,Sarah,white,Female,4,No,No,Yes,2,Yes,No,Yes,Yes,No,Yes,high
10,Boston,wholesale_and_retail_trade,retail_sales,NA,Yes,unknown,No,No,No,None,No,No,none_listed,0,Todd,white,Male,4,No,No,Yes,6,Yes,No,No,No,No,No,low
11,Boston,wholesale_and_retail_trade,manager,0,Yes,public,Yes,No,No,1,No,No,none_listed,0,Brad,white,Male,4,No,Yes,No,26,No,No,No,No,No,No,low
11,Boston,wholesale_and_retail_trade,manager,0,Yes,public,Yes,No,No,1,No,No,none_listed,0,Geoffrey,white,Male,4,No,Yes,No,18,Yes,No,Yes,No,No,No,high
11,Boston,wholesale_and_retail_trade,manager,0,Yes,public,Yes,No,No,1,No,No,none_listed,0,Leroy,black,Male,4,No,Yes,No,8,Yes,No,No,No,No,No,low
11,Boston,wholesale_and_retail_trade,manager,0,Yes,public,Yes,No,No,1,No,No,none_listed,0,Tamika,black,Female,4,No,Yes,Yes,14,Yes,Yes,Yes,No,No,No,high
12,Boston,wholesale_and_retail_trade,manager,0,No,private,Yes,No,No,2,No,No,none_listed,0,Emily,white,Female,4,No,No,Yes,8,Yes,No,Yes,No,No,Yes,high
